tau_c,p_th,ci_lo,ci_hi
white,0.0033676056338028167,0.0032357580876641407,0.003477244571741936
0.2,0.003215742574257428,0.003095291903542375,0.003294458643308324
0.536539,0.003254077253218884,0.0031351641040059932,0.003338601794746696
1.43937,0.003281529944640162,0.0031677418412838737,0.003365655810289902
3.8614,0.0032638795986622074,0.003121382316874147,0.0033683088727705338
10.3589,0.0033163290615957014,0.003203840341310214,0.003405245310842819
27.7899,0.003330612244897959,0.0031730902874631756,0.0034650582731343034
74.5519,0.0032352056168505525,0.0030670264298834626,0.003360895108875478
200,0.0033408086702792833,0.0031993234058816456,0.0034588977639420132
